crash_date_time,person_type,street_no,street_direction,street_name,latitude,longitude,posted_speed_limit,driver_action,injury_classification,driver_vision,pedpedal_action,pedpedal_location,first_crash_type
2024-11-29T13:45:00.000,BICYCLE,1948,W,AUGUSTA BLVD,41.899668721,-87.676674049,30,NONE,NONINCAPACITATING INJURY,NOT OBSCURED,WITH TRAFFIC,BIKE LANE,PEDALCYCLIST
2024-11-27T15:10:00.000,PEDESTRIAN,2500,N,CAMPBELL AVE,41.926769624,-87.690300272,30,NONE,"REPORTED, NOT EVIDENT",NOT OBSCURED,CROSSING - CONTROLS PRESENT (NOT AT INTERSECTION),IN CROSSWALK,PEDESTRIAN
2024-11-25T17:35:00.000,BICYCLE,1599,W,SUPERIOR ST,41.89504789,-87.667181273,35,UNKNOWN,INCAPACITATING INJURY,NOT OBSCURED,AGAINST TRAFFIC,IN CROSSWALK,PEDALCYCLIST
2024-11-23T00:25:00.000,BICYCLE,2393,N,MILWAUKEE AVE,41.924816741,-87.700234498,30,NONE,"REPORTED, NOT EVIDENT",UNKNOWN,CROSSING - WITH SIGNAL,BIKE LANE,PEDALCYCLIST
2024-11-21T20:17:00.000,BICYCLE,1164,N,MILWAUKEE AVE,41.90282089,-87.665870353,30,NONE,NONINCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,BIKEWAY,PEDALCYCLIST
2024-11-16T20:00:00.000,BICYCLE,2403,N,SACRAMENTO AVE,41.924878729,-87.702174555,23,OTHER,NONINCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,BIKE LANE,PEDALCYCLIST
2024-11-14T20:28:00.000,PEDESTRIAN,1535,W,DIVISION ST,41.903248153,-87.666533812,30,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,PEDESTRIAN
2024-11-11T16:00:00.000,BICYCLE,1500,N,DAMEN AVE,41.908287163,-87.677551122,30,NONE,NONINCAPACITATING INJURY,NOT OBSCURED,WITH TRAFFIC,BIKE LANE,PEDALCYCLIST
2024-11-11T07:30:00.000,PEDESTRIAN,1000,N,DAMEN AVE,41.899594831,-87.677303736,30,NONE,"REPORTED, NOT EVIDENT",NOT OBSCURED,STANDING IN ROADWAY,IN ROADWAY,REAR END
2024-11-10T03:58:00.000,PEDESTRIAN,1238,N,ASHLAND AVE,41.904327688,-87.667668594,30,NONE,INCAPACITATING INJURY,UNKNOWN,UNKNOWN/NA,BIKE LANE,PEDESTRIAN
2024-11-08T20:10:00.000,BICYCLE,2807,W,ARMITAGE AVE,41.917377068,-87.697503669,30,NONE,"REPORTED, NOT EVIDENT",NOT OBSCURED,WITH TRAFFIC,BIKE LANE,PEDALCYCLIST
2024-11-08T18:40:00.000,PEDESTRIAN,1800,W,AUGUSTA BLVD,41.899741542,-87.672345735,30,NONE,NONINCAPACITATING INJURY,NOT OBSCURED,CROSSING - WITH SIGNAL,BIKEWAY,PEDESTRIAN
2024-11-08T15:30:00.000,BICYCLE,1800,W,GRAND AVE,41.891011186,-87.672147458,25,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-11-07T14:00:00.000,BICYCLE,1200,N,DAMEN AVE,41.903235204,-87.677406088,30,UNKNOWN,NO INDICATION OF INJURY,UNKNOWN,TURNING LEFT,IN ROADWAY,PEDALCYCLIST
2024-11-07T07:50:00.000,BICYCLE,1602,W,AUGUSTA BLVD,41.899815048,-87.667540321,30,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,TURNING RIGHT,BIKEWAY,PEDALCYCLIST
2024-11-05T13:30:00.000,PEDESTRIAN,2500,N,CALIFORNIA AVE,41.926679631,-87.697612342,30,NONE,"REPORTED, NOT EVIDENT",NOT OBSCURED,NO ACTION,IN CROSSWALK,PEDESTRIAN
2024-11-04T21:10:00.000,BICYCLE,2399,N,WESTERN AVE,41.92486539,-87.687493569,30,OTHER,NO INDICATION OF INJURY,NOT OBSCURED,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-11-02T18:40:00.000,PEDESTRIAN,1798,W,NORTH AVE,41.910671666,-87.672516933,30,NONE,NO INDICATION OF INJURY,NOT OBSCURED,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
2024-11-02T14:45:00.000,BICYCLE,1521,N,MILWAUKEE AVE,41.909235959,-87.675455541,30,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,BIKE LANE,PEDALCYCLIST
2024-11-01T08:30:00.000,BICYCLE,1558,N,GREENVIEW AVE,41.910563461,-87.665738412,30,NONE,INCAPACITATING INJURY,UNKNOWN,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDALCYCLIST
2024-10-29T09:00:00.000,BICYCLE,2525,W,ARMITAGE AVE,41.917435191,-87.69090967,30,NONE,NO INDICATION OF INJURY,UNKNOWN,NO ACTION,IN ROADWAY,PEDALCYCLIST
2024-10-26T10:43:00.000,PEDESTRIAN,2423,N,RICHMOND ST,41.925552812,-87.701200599,20,NONE,NO INDICATION OF INJURY,NOT OBSCURED,STANDING IN ROADWAY,IN ROADWAY,PEDESTRIAN
2024-10-24T21:26:00.000,BICYCLE,1519,N,MILWAUKEE AVE,41.909199636,-87.675398761,30,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,BIKEWAY,PEDALCYCLIST
2024-10-24T19:30:00.000,BICYCLE,2744,N,CALIFORNIA AVE,41.931607951,-87.697755776,30,UNKNOWN,"REPORTED, NOT EVIDENT",UNKNOWN,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-10-19T16:08:00.000,PEDESTRIAN,1501,N,MILWAUKEE AVE,41.908777488,-87.674740139,30,UNKNOWN,NONINCAPACITATING INJURY,,STANDING IN ROADWAY,IN ROADWAY,PEDESTRIAN
2024-10-18T15:13:00.000,PEDESTRIAN,1647,W,CHICAGO AVE,41.89593214,-87.669196101,30,FAILED TO YIELD,INCAPACITATING INJURY,UNKNOWN,CROSSING - NO CONTROLS (NOT AT INTERSECTION),IN ROADWAY,PEDESTRIAN
2024-10-15T18:55:00.000,PEDESTRIAN,1198,N,DAMEN AVE,41.903164085,-87.677403965,30,,NONINCAPACITATING INJURY,,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
2024-10-15T10:02:00.000,PEDESTRIAN,2199,W,DIVISION ST,41.902998631,-87.682015137,30,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
2024-10-11T12:40:00.000,PEDESTRIAN,2257,W,AUGUSTA BLVD,41.899316471,-87.684284002,30,NONE,NONINCAPACITATING INJURY,UNKNOWN,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
2024-10-10T20:22:00.000,PEDESTRIAN,1572,N,MILWAUKEE AVE,41.909985927,-87.677079652,30,NONE,NONINCAPACITATING INJURY,NOT OBSCURED,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
2024-10-10T08:12:00.000,BICYCLE,1514,N,MILWAUKEE AVE,41.908960247,-87.675476371,30,OTHER,NO INDICATION OF INJURY,NOT OBSCURED,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-10-09T21:10:00.000,PEDESTRIAN,2800,W,ARMITAGE AVE,41.917598837,-87.697253745,30,DISREGARDED CONTROL DEVICES,NONINCAPACITATING INJURY,UNKNOWN,CROSSING - AGAINST SIGNAL,IN ROADWAY,PEDESTRIAN
2024-10-09T14:30:00.000,BICYCLE,1500,N,ROCKWELL ST,41.908531386,-87.69222463,30,NONE,NO INDICATION OF INJURY,NOT OBSCURED,AGAINST TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-10-07T10:15:00.000,BICYCLE,932,N,WOOD ST,41.898831106,-87.672408259,30,FAILED TO YIELD,NO INDICATION OF INJURY,UNKNOWN,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-10-03T17:30:00.000,BICYCLE,2000,W,NORTH AVE,41.910582764,-87.677701677,30,NONE,NONINCAPACITATING INJURY,NOT OBSCURED,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-10-03T06:55:00.000,BICYCLE,1211,N,DAMEN AVE,41.903588941,-87.677122416,30,NONE,INCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,BIKEWAY,PEDALCYCLIST
2024-10-01T22:20:00.000,BICYCLE,2022,W,NORTH AVE,41.910581076,-87.678268407,30,UNKNOWN,NONINCAPACITATING INJURY,UNKNOWN,UNKNOWN/NA,BIKEWAY,PEDALCYCLIST
2024-09-30T20:46:00.000,BICYCLE,2402,N,WESTERN AVE,41.925004867,-87.687792803,30,UNKNOWN,"REPORTED, NOT EVIDENT",UNKNOWN,WITH TRAFFIC,IN ROADWAY,PEDALCYCLIST
2024-09-30T16:55:00.000,BICYCLE,2655,W,LOGAN BLVD,41.92837978,-87.694879843,30,UNKNOWN,"REPORTED, NOT EVIDENT",NOT OBSCURED,WITH TRAFFIC,BIKEWAY,PEDALCYCLIST
2024-09-27T13:30:00.000,BICYCLE,2474,N,MILWAUKEE AVE,41.926242104,-87.703023398,30,NONE,NONINCAPACITATING INJURY,NOT OBSCURED,OTHER ACTION,IN ROADWAY,PEDALCYCLIST
2024-09-27T12:18:00.000,BICYCLE,1935,N,CALIFORNIA AVE,41.916724257,-87.697029766,30,FAILED TO YIELD,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN/NA,IN ROADWAY,PEDALCYCLIST
2024-09-25T18:30:00.000,BICYCLE,2530,W,NORTH AVE,41.910387932,-87.690964282,30,NONE,NONINCAPACITATING INJURY,UNKNOWN,WITH TRAFFIC,BIKEWAY,PEDALCYCLIST
2024-09-25T09:00:00.000,PEDESTRIAN,1759,W,DIVISION ST,41.903159664,-87.672232287,35,NONE,NONINCAPACITATING INJURY,UNKNOWN,CROSSING - WITH SIGNAL,IN ROADWAY,PEDESTRIAN
2024-09-23T21:15:00.000,BICYCLE,2455,N,MILWAUKEE AVE,41.925919339,-87.702035843,30,NONE,"REPORTED, NOT EVIDENT",NOT OBSCURED,UNKNOWN/NA,BIKEWAY,PEDALCYCLIST
2024-09-22T09:43:00.000,PEDESTRIAN,2600,W,LOGAN BLVD,41.92861793,-87.692719605,30,,NONINCAPACITATING INJURY,,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
2024-09-22T09:43:00.000,PEDESTRIAN,2600,W,LOGAN BLVD,41.92861793,-87.692719605,30,,NONINCAPACITATING INJURY,,CROSSING - WITH SIGNAL,IN CROSSWALK,PEDESTRIAN
